id	weight<pages>	score<doi>	score<pages doi>	score<isbn>	score<pages isbn>	score<references>
canada road transport	319	0.0	0.0	0.23824451410658307	13.166	0.23824451410658307
canada-related	9962	0.3830556113230275	8.743	1.6779763099779161	35.916	2.0610319213009434
canadian animation	70	0.04285714285714286	2.857	2.1714285714285713	44.286	2.2142857142857144
canadian cinema	383	0.07571801566579635	4.178	1.2715404699738904	30.548	1.3472584856396868
canadian comics	57	0.03508771929824561	1.754	0.8421052631578947	42.105	0.8771929824561403
canadian communities	367	0.1335149863760218	7.902	1.3787465940054495	41.417	1.5122615803814714
canadian football	341	0.0967741935483871	0.88	0.9530791788856305	27.859	1.0498533724340176
canadian law	244	0.3319672131147541	13.115	1.319672131147541	31.557	1.651639344262295
canadian military history	1819	0.1588785046728972	4.948	3.6448598130841123	59.483	3.803738317757009
canadian music	718	0.026462395543175487	1.532	0.8119777158774373	25.627	0.8384401114206128
canadian sport	1224	0.013071895424836602	1.144	1.151143790849673	28.105	1.1642156862745099
canadian territories	181	1.9226519337016574	27.072	2.867403314917127	52.486	4.790055248618785
canadian tv shows	223	0.008968609865470852	0.897	0.6412556053811659	21.525	0.6502242152466368
canberra	177	0.06779661016949153	4.52	0.8870056497175142	31.638	0.9548022598870056
cannabis	187	5.545454545454546	38.503	3.3850267379679146	50.802	8.93048128342246
canoeing and kayaking	59	0.3898305084745763	13.559	2.152542372881356	40.678	2.542372881355932
canon law	44	0.022727272727272728	2.273	0.3409090909090909	18.182	0.36363636363636365
cape cod and the islands	284	1.278169014084507	18.662	3.943661971830986	57.394	5.221830985915493
cape verde	67	0.40298507462686567	14.925	0.6268656716417911	23.881	1.0298507462686568
capital district	250	0.368	6.4	2.04	45.6	2.408
cardiff	181	0.08839779005524862	6.077	1.2209944751381216	33.702	1.3093922651933703
cardiology	228	19.850877192982455	90.351	2.960526315789474	74.123	22.81140350877193
caribbean	1647	0.9732847601700061	19.49	1.9192471159684275	38.676	2.8925318761384333
caribbean netherlands	16	0.125	6.25	1.9375	50.0	2.0625
carnivorous plant	82	2.6341463414634148	35.366	0.45121951219512196	14.634	3.0853658536585367
